score,clean_content,minimal_content,roberta_sentiment
1,I am very disappointed with Elsa too many errors.,i be very disappointed with elsa too many errors.,negative
2,"The application is limited to the lesson all day by 5 lessons, which can absorb much in the limited parts that are very uncomfortable.","the application be limit to the lesson all day by 5 lessons, which can absorb much in the limited part that be very uncomfortable.",negative
5,"amazing app in playstore. you guys try it this app, if you're learning speaking.","amaze app in playstore. you guy try it this app, if you be learn speaking.",neutral
1,Horrible just because it uses AI.,horrible just because it use ai.,negative
5,Wicked,wicked,negative
5,"As long as you spend a bit of free time instead of surfing FB, surf Elsa you will see your own change every day","as long as you spend a bit of free time instead of surf fb, surf elsa you will see your own change every day",neutral
1,"I just checked by speaking wrong words rather than wrong pronounciation, It's not at all correcting my wrong words! Nothing else, Time waste!!!","i just check by speak wrong word rather than wrong pronounciation, it be not at all correct my wrong words! nothing else, time waste!",negative
5,Can I ask the app?,can i ask the app?,neutral
3,"just beginning, I will give the full rating after thorough exploration of the app.","just beginning, i will give the full rating after thorough exploration of the app.",neutral
5,the better option,the good option,neutral
5,This app is amazing and it has really helped me thank you for this outstanding app,this app be amazing and it have really help me thank you for this outstanding app,positive
5,it is like a friend...,it be like a friend.,neutral
5,This app is great for me! 👍 👍 👍,this app be great for me! 👍 👍 👍,positive
1,Unnecessary data invasion and collection for a language app.,unnecessary data invasion and collection for a language app.,negative
5,wow it's soo nice apps,wow it be soo nice apps,positive
2,This app is good but cake app is best.. Coz I can read or watch videos as much as I want with cake app.. But here with Elsa I can only take 5 lessons in a day and have to wait for tomorrow which I don't like. And I don't have money to buy package.. Cake app is best coz there I have unlimited lessons.. Make Elsa like cake app.. Make some topics free and unlimited time to read any topics without any restrictions.. Those Who have money will buy package.. But people like me can't afford..thanks,this app be good but cake app be best. coz i can read or watch video as much as i want with cake app. but here with elsa i can only take 5 lesson in a day and have to wait for tomorrow which i do not like. and i do not have money to buy package. cake app be best coz there i have unlimited lessons. make elsa like cake app. make some topic free and unlimited time to read any topic without any restrictions. those who have money will buy package. but people like me cannot afford. thanks,neutral
5,Why do so many people have a nervous sentence:))),why do so many people have a nervous sentence,negative
2,"it takes forever to start this app. I think you don't need to check for update every day, so slow and annoying.","it take forever to start this app. i think you do not need to check for update every day, so slow and annoying.",negative
2,I can't learn,i cannot learn,negative
5,Teach pronunciation very detailed. 😀 😀 😀,teach pronunciation very detailed. 😀 😀 😀,positive
5,very helpful to correct your accent or pronunciation.,very helpful to correct your accent or pronunciation.,neutral
1,Elsa is having an error in the lesson. Because the set of lessons I have vocabulary that opened is empty. Delete the download app is still,elsa be have an error in the lesson. because the set of lesson i have vocabulary that open be empty. delete the download app be still,negative
1,What is the application for money?,what be the application for money?,neutral
5,excellent but please hell people with out money to pay,excellent but please hell people with out money to pay,negative
5,Interesting kind of app for increase the knowledge and vocabulary,interest kind of app for increase the knowledge and vocabulary,neutral
5,Good app to increase pron. skill during lockdown,good app to increase pron. skill during lockdown,neutral
4,Exc,exc,neutral
5,Good one..!,good one. !,positive
5,"Amazing App, Maybe","amaze app, maybe",neutral
5,very good and recommended,very good and recommend,positive
5,Really useful for practice! Good 👍,really useful for practice! good 👍,positive
5,Amazing app this app really helps me to improve my pronunciation.,amaze app this app really help me to improve my pronunciation.,positive
5,"If I want to cancel the dk package, then NTN AD?","if i want to cancel the dk package, then ntn ad?",neutral
5,Best app in the category,best app in the category,positive
5,A good application for learning pronunciation in English.,a good application for learn pronunciation in english.,neutral
4,"Ad Let KK ask, MK missed but has not used all 7 days for free, still charge after 7 days, MK has to cancel posting or how, admin helps mk vs, really thank you","ad let kk ask, mk miss but have not use all 7 day for free, still charge after 7 days, mk have to cancel posting or how, admin help mk vs, really thank you",neutral
2,"Those who came to use it for free, they turn around and leave, they won't work for more than one to two days. Then they will ask you to purchase premium. And even if you deduct it from the purchase, it won't be free. I couldn't use it even for a day, bad app(free).","those who come to use it for free, they turn around and leave, they will not work for more than one to two days. then they will ask you to purchase premium. and even if you deduct it from the purchase, it will not be free. i could not use it even for a day, bad app free .",negative
1,I just purchased 3 months plan and it took from my visa card 220.000vnd instead of 200.000. Not sure if additional amount (20.000vnd) is VAT fee.,i just purchase 3 month plan and it take from my visa card 220. 000vnd instead of 200. 000. not sure if additional amount 20. 000vnd be vat fee.,negative
1,I don't know how i paid $158 for this app. I realized it after 7 days of purchase. I tried to cancel but google said no because i am late. Anyway.. I said ok i paid so i have to use it maybe it is a good chance for me to improve my english. However the app is not working like subscribed.. Just asking for upgrade for everything.. Idk why.. Is there somebody to help me?? I already didn't want to subscribe and now i can't use it..,i do not know how i pay $158 for this app. i realize it after 7 day of purchase. i try to cancel but google say no because i be late. anyway. i say ok i pay so i have to use it maybe it be a good chance for me to improve my english. however the app be not work like subscribed. just ask for upgrade for everything. idk why. be there somebody to help me? i already do not want to subscribe and now i cannot use it.,negative
1,"Hi, I can't buy premium, because app thinks I'm in Russia. I live in the Netherlands 2+ years and tried reinstalling the app, but unsuccessful. Please help","hi, i cannot buy premium, because app think i be in russia. i live in the netherlands 2+ year and try reinstall the app, but unsuccessful. please help",negative
2,let's try,let u try,neutral
5,Does the application plan intend to develop on PC?,do the application plan intend to develop on pc?,neutral
3,I could not check the pronunciation of the dictionary even though I bought an account for a year.,i could not check the pronunciation of the dictionary even though i buy an account for a year.,negative
5,Like the way it,like the way it,neutral
1,It can't run,it cannot run,neutral
5,I really liked this application,i really like this application,positive
4,gd app,gd app,neutral
5,"Good application, quality","good application, quality",positive
3,Good for beginners bad for advanced users with mixed accents,good for beginner bad for advanced user with mixed accent,neutral
5,"Sweet, but some times want to subscribe","sweet, but some time want to subscribe",neutral
5,Good App learning,good app learning,positive
5,Helpful for me to get a better pronounciation,helpful for me to get a good pronounciation,neutral
1,"Update: 1* For intonation. The intonation is still very bad, making learners almost unable to answer correctly in all 5 sentences of that intonation group. Should design the report button for the whole whole question, but the report is very tired. In general, the intonation is the worst of this app.","update 1 for intonation. the intonation be still very bad, make learner almost unable to answer correctly in all 5 sentence of that intonation group. should design the report button for the whole whole question, but the report be very tired. in general, the intonation be the bad of this app.",negative
3,"It is a bit strange on Google translated, translated out but 21% is indigenous","it be a bit strange on google translated, translate out but 21% be indigenous",neutral
3,"It's fine, but the problem is that you only have 5 free classes per day, this delays my learning, many people don't have money to pay.","it be fine, but the problem be that you only have 5 free class per day, this delay my learning, many people do not have money to pay.",negative
5,It is Very beautiful,it be very beautiful,positive
3,"IDK, but I can't create password. I enter all right (for example: camila-2580). all other is very good! SRY, for today is 3 stars..","idk, but i cannot create password. i enter all right for example camila-2580 . all other be very good! sry, for today be 3 stars.",neutral
1,"This app used to be helpful, but it's not anymore. It doesn't let me practice.","this app use to be helpful, but it be not anymore. it do not let me practice.",negative
5,ot is perfect but it needs more lessons to take each day for free...... thanks 🙏,ot be perfect but it need more lesson to take each day for free. thanks 🙏,neutral
5,This is an amazing app...,this be an amazing app.,positive
3,Can you fix the video to watch the video? Watching but jerking can not be seen.,can you fix the video to watch the video? watch but jerk can not be seen.,negative
5,really it's wonderful App,really it be wonderful app,positive
5,Very much in love 💕,very much in love 💕,positive
4,so usfull,so usfull,negative
1,Best app to learn with,best app to learn with,positive
1,It's paid app so I don't like it,it be pay app so i do not like it,negative
5,can you updated lifetime package on app? thanks,can you updated lifetime package on app? thanks,neutral
1,My grandchildren pronounced it right,my grandchild pronounce it right,neutral
5,It is nice to learn for beginner,it be nice to learn for beginner,positive
3,The symbol of the App's IPA negative is much wrong compared to its Oald dictionary. We hope the developer of repair and update applications for the App is more complete.,the symbol of the apps ipa negative be much wrong compare to it be oald dictionary. we hope the developer of repair and update application for the app be more complete.,negative
4,good apps to whom learning and practice English,good apps to whom learning and practice english,neutral
5,I am from a stupid person to recruit good English students of the school 👌,i be from a stupid person to recruit good english student of the school 👌,negative
5,"very app to learn other language,in case English","very app to learn other language, in case english",neutral
5,Great application 👍,great application 👍,positive
5,"I think Elsa should add the function to view the lesson content, especially the conversations. Whether the lesson has been learned or never clicked on the content.","i think elsa should add the function to view the lesson content, especially the conversations. whether the lesson have be learn or never click on the content.",neutral
1,It's soo hard to pronounce. 😫 even i am unable to pronounce nice 😂,it be soo hard to pronounce. 😫 even i be unable to pronounce nice 😂,negative
5,Good Rata app,good rata app,positive
1,I heard how I could not hear it clearly or I said it was very close but it was only 40-50%,i hear how i could not hear it clearly or i say it be very close but it be only 40-50%,neutral
5,nice app to English learning,nice app to english learning,positive
1,Poor app....,poor app.,negative
5,The nest is worth using,the nest be worth use,neutral
5,Update many exercises to gradually fit and avoid boredom.,update many exercise to gradually fit and avoid boredom.,neutral
1,"Bruv. This app is trash. ""IT'S FREE"" YEAH stfu you need to pay. There's no way it can improve your English pronunciation with this app.","bruv. this app be trash. ""its free"" yeah stfu you need to pay. there be no way it can improve your english pronunciation with this app.",negative
5,"It tell me how I do, my level and tell me if I prounciated it as native","it tell me how i do, my level and tell me if i prounciated it as native",neutral
5,"This is actually working, really help to learn and develop your speaking english skills.","this be actually working, really help to learn and develop your speak english skills.",positive
1,What do I do if my pronunciation is British and I can't detect some words because of the accent?,what do i do if my pronunciation be british and i cannot detect some word because of the accent?,negative
1,"when relogin,it forces me using the new version. it's annoying. I want to change to old version 🫠","when relogin, it force me use the new version. it be annoying. i want to change to old version 🫠",negative
4,Studying very well only needs money,study very well only need money,neutral
2,Lag application very much,lag application very much,neutral
5,"It is good, but it Needs Money and Many Arabs Do Not Have engrav Money to Buy all the Resources in the Application.","it be good, but it need money and many arab do not have engrav money to buy all the resource in the application.",negative
1,"The app says that it will advise at end of trial time, but when it happens the app only charges you with 3 months on your credit card.","the app say that it will advise at end of trial time, but when it happen the app only charge you with 3 month on your credit card.",neutral
5,"Great people just need to be diligent, she will pronounce standard day by day, I am using basic, not the Pre version, because I don't have money: (((","great people just need to be diligent, she will pronounce standard day by day, i be use basic, not the pre version, because i do not have money",neutral
2,worked fine for a day or so but now it keeps crashing 😮‍ 💨,work fine for a day or so but now it keep crash 😮 💨,negative
5,Do you need to pay for this school.,do you need to pay for this school.,negative
4,Pretty great for beginners,pretty great for beginner,positive
5,Or through or always,or through or always,neutral
5,This app costs but it worth it,this app cost but it worth it,neutral
5,"I know this app through Dan Hauer, very sad because Dan no longer works, if I will support my best","i know this app through dan hauer, very sad because dan no longer works, if i will support my best",negative
5,outstanding app for improving English pronunciation...,outstanding app for improve english pronunciation.,positive
5,Many of me,many of me,neutral
5,"Speaking practice is very useful, more standard pronunciation","speak practice be very useful, more standard pronunciation",neutral
4,"its cool, who first check nd then learn.","it be cool, who first check nd then learn.",positive
1,"Can't use it, you have to buy the pro hmm, it's useless to download","cannot use it, you have to buy the pro hmm, it be useless to download",negative
1,I paid 3 months and it doesnt recognize my microphone propertly,i pay 3 month and it do not recognize my microphone propertly,negative
5,"really like it, very interesting","really like it, very interesting",positive
1,I speak English and it said I sounded like 92% native. English is literally the only language I know,i speak english and it say i sound like 92% native. english be literally the only language i know,neutral
5,The application is very good and easy to use. Can be used for people who lose basic.,the application be very good and easy to use. can be use for people who lose basic.,positive
1,"Paid for lifetime access 6 months ago, now it says my account does not exist... why is my account deleted.","pay for lifetime access 6 month ago, now it say my account do not exist. why be my account deleted.",negative
3,"When I first got in 7 days, I lost money.","when i first get in 7 days, i lose money.",negative
3,Nice ap Fh,nice ap fh,neutral
5,Really Amazing App 💓,really amazing app 💓,positive
3,"Learning is also useful and very good but being ""money"". Should not learn much: (((","learning be also useful and very good but be ""money"". should not learn much",neutral
5,"The frustrating thing for me is after the trial version of 7 days, i will not get the locked feature to use without Paying. That's make me so sad. But the app is so good. It’s really improve my english speaking skills.","the frustrating thing for me be after the trial version of 7 days, i will not get the locked feature to use without paying. that be make me so sad. but the app be so good. it s really improve my english speaking skills.",negative
5,Best for practicing,best for practice,neutral
4,"Well, it's fine, but it costs money, but why is this like being lag, going in 😔","well, it be fine, but it cost money, but why be this like be lag, go in 😔",negative
1,Just after one day I couldn't access to my account,just after one day i could not access to my account,negative
1,Can I register for a 1 -year premium package,can i register for a 1 -year premium package,neutral
5,"Appreciating the appearance for a star that it is hidden. Say why this app is so high. For five stars because of the spectacular trick to try 7 days to automatically renew 1 year, each person is nearly 1 million to see the century. It only sent an apology sentence, but the money did not vomit! Dieu!","appreciate the appearance for a star that it be hidden. say why this app be so high. for five star because of the spectacular trick to try 7 day to automatically renew 1 year, each person be nearly 1 million to see the century. it only send an apology sentence, but the money do not vomit! dieu!",neutral
1,"MH bought Pro 365k/quarterly package, has been deducted money and is notified to buy successfully, but on the Elsa Speak account is still a free account, not updating to the Pro TK.","mh buy pro 365k/quarterly package, have be deduct money and be notify to buy successfully, but on the elsa speak account be still a free account, not update to the pro tk.",neutral
5,good ai app,good ai app,positive
5,For improving speaking it is good app,for improve speak it be good app,positive
3,"I already have one year membership, I thought when I subscribe one year membership I can access all courses, but unfortunately when I want to access ""business results courses by Oxford University"" the app ask me to buy the books again. But overall this apps is very good to improve pronunciation skills, I hope in the future Elsa can make everyone who already buy the premium can access all courses including the Business Results Courses by Oxford University.","i already have one year membership, i think when i subscribe one year membership i can access all courses, but unfortunately when i want to access ""business result course by oxford university"" the app ask me to buy the book again. but overall this apps be very good to improve pronunciation skills, i hope in the future elsa can make everyone who already buy the premium can access all course include the business result course by oxford university.",neutral
3,its not fully free thats y i gave 3stars for this,it be not fully free that be y i give 3stars for this,negative
3,"very helpful, but must be paid first","very helpful, but must be pay first",positive
4,ELSA is one of the best app for learning english,elsa be one of the best app for learn english,positive
1,Read again right but still not appreciate,read again right but still not appreciate,negative
1,The free part does not work and always goes to the promotion page to upgrade the account to a paid account,the free part do not work and always go to the promotion page to upgrade the account to a pay account,negative
1,Why my list vocabulary was 368 and now 298? And % are wrong 🤨,why my list vocabulary be 368 and now 298? and % be wrong 🤨,negative
1,I'm not paying this much for it.,i be not pay this much for it.,negative
4,This is a good app. It's very useful for the beginners how to pronounce and how to give answers.,this be a good app. it be very useful for the beginner how to pronounce and how to give answers.,positive
5,Giao tiep voi nguoi hoc rat than thien,giao tiep voi nguoi hoc rat than thien,neutral
5,"Very useful, advise people to download to learn","very useful, advise people to download to learn",positive
1,"force you to buy, not free","force you to buy, not free",neutral
2,The application is too stingy for 1 day for the remaining 5 times to deposit money to study,the application be too stingy for 1 day for the remain 5 time to deposit money to study,negative
3,good for to improve English,good for to improve english,positive
1,Awful experience!,awful experience!,negative
5,"The best application, but for me the interface is a little complicated means difficult","the best application, but for me the interface be a little complicated mean difficult",neutral
4,this app are more usefully,this app be more usefully,neutral
4,very useful app learning speak at this application,very useful app learn speak at this application,positive
1,Very bad app. Thay want from me money Money and Money,very bad app. thay want from me money money and money,negative
5,The pronunciation function has improved a lot,the pronunciation function have improve a lot,positive
5,if you want to study English you must download Elsa,if you want to study english you must download elsa,neutral
4,Good apps 👌,good apps 👌,positive
5,good app thank.,good app thank.,positive
3,I need this app alot but unfortunately the app doesn't recognize my voice correctly please help note 3,i need this app alot but unfortunately the app do not recognize my voice correctly please help note 3,negative
4,I would want everyone use it in order to rise up their pronunciation,i would want everyone use it in order to rise up their pronunciation,neutral
2,fee is much,fee be much,neutral
1,We can't use this as app in Iran,we cannot use this as app in iran,negative
5,this app is outstanding. It gives you alot of feature to enhance your spoken English as well as your pronunciation ability. I much much impressed by this app. This app take you to how a native speaker speaks. This app has an AI feature and loaded with some upcoming technologies that give you a different aspects to learn thing in a new way.,this app be outstanding. it give you alot of feature to enhance your spoken english as well as your pronunciation ability. i much much impress by this app. this app take you to how a native speaker speaks. this app have an ai feature and load with some upcoming technology that give you a different aspect to learn thing in a new way.,positive
4,now im learning,now i be learn,neutral
1,Is the new version having issues on recognising the microphone? Your app cannot hear my voice now. But other mobile apps on my phone don't have this problem.,be the new version have issue on recognise the microphone? your app cannot hear my voice now. but other mobile apps on my phone do not have this problem.,negative
1,Very very very bad not free don't install I uninstall it,very very very bad not free do not install i uninstall it,negative
5,very good app to learn english.,very good app to learn english.,positive
1,I have been trying to signup but they arw not unblocking my account even though i tried after several hours atill same issue,i have be try to signup but they arw not unblocking my account even though i try after several hour atill same issue,negative
3,some other live lessons required for more knowledge and improvement.,some other live lesson require for more knowledge and improvement.,neutral
5,An excellent App and there is so much to practice.,an excellent app and there be so much to practice.,positive
5,"Too satisfied, but the cost is too high, but it is not okay, as long as I can help me get better","too satisfied, but the cost be too high, but it be not okay, as long as i can help me get good",negative
5,"A very quality application for English beginner students, thank you Elsa more and more enthusiastic to learn her English","a very quality application for english beginner students, thank you elsa more and more enthusiastic to learn her english",positive
5,"The peak is too tr, suitable for new English people","the peak be too tr, suitable for new english people",neutral
5,This is my first time using these apps but in just a few minutes I have already improved my pronunciation,this be my first time use these apps but in just a few minute i have already improve my pronunciation,positive
5,It's Good for New Practice English.,it be good for new practice english.,positive
5,Only used within 7 days. How much does it cost to buy Pro for?,only use within 7 days. how much do it cost to buy pro for?,neutral
5,Good for pronunciation practice,good for pronunciation practice,positive
5,this greatbapp...,this greatbapp.,positive
2,"After reading a word, it takes about 5s to waiting for app load to see what other people to practice. It makes me uncomfortable.","after read a word, it take about 5 to wait for app load to see what other people to practice. it make me uncomfortable.",negative
1,"Worst app I had ever seen .. , When I opened the app it just redirect me to first do the payment and then try the app ---worst app-----","bad app i have ever seen. , when i open the app it just redirect me to first do the payment and then try the app -worst app-",negative
3,"I talk better English than this app and there like ""nope try again"" like what the actual heck it does pretty good but it gets really annoying when I literally say something and I get it wrong but then I pronounce it the same and then the app is like ""wow so amazing"" like OMG 😿 🙀 😾","i talk good english than this app and there like ""nope try again"" like what the actual heck it do pretty good but it get really annoy when i literally say something and i get it wrong but then i pronounce it the same and then the app be like ""wow so amazing"" like omg 😿 🙀 😾",negative
5,Unused but found it interesting,unused but find it interest,neutral
3,"App is good. However, is only available for USA accent, so the british accent I learn is not acceptable in this app. But I still suggest the app for new learners","app be good. however, be only available for usa accent, so the british accent i learn be not acceptable in this app. but i still suggest the app for new learner",neutral
4,"Why did I finish the program and still not be able to update the new program, but it only records the program history.","why do i finish the program and still not be able to update the new program, but it only record the program history.",negative
5,I hope I can,i hope i can,neutral
1,Can not log in to the Pro account with email.,can not log in to the pro account with email.,neutral
5,Elsa is the best application that helped me improve pronunciation a lot. Hopefully the application will be more PT !!!!,elsa be the best application that help me improve pronunciation a lot. hopefully the application will be more pt!,positive
5,The lesson is easy to understand but does not have a meaning,the lesson be easy to understand but do not have a meaning,negative
1,"Mom .. I see that the other lady reviews or should download it to try it. Whoever goes up here to read carefully, it will pay for itself. What business is like robbery? Then I know that it has been renewed yet! Someone just t","mom. i see that the other lady review or should download it to try it. whoever go up here to read carefully, it will pay for itself. what business be like robbery? then i know that it have be renew yet! someone just t",neutral
5,This is really helpful for me to improve my english knowledge ❤️,this be really helpful for me to improve my english knowledge ❤,positive
1,"Mn, let me ask if anyone is like me, just wrapped in the Pro package, used for two days, it was ""updated the application with the latest data"". Can't learn the next lesson, all the modules stop at level 3. I don't know if the error can fix it anymore","mn, let me ask if anyone be like me, just wrap in the pro package, use for two days, it be ""updated the application with the late data"". cannot learn the next lesson, all the module stop at level 3. i do not know if the error can fix it anymore",negative
1,"A bad bad, do not be deceived by a heavy drive","a bad bad, do not be deceive by a heavy drive",negative
1,It is way too expensive. They tripled the price for no reason.,it be way too expensive. they triple the price for no reason.,negative
2,"It doesn't work. I deliberately spoke in non-English accents and mispronounced words, e.g saying 'boggest' instead of 'biggest' etc. Each time I passed with a 'native speaker' score, even though what I was saying sounded nothing like native, or was wrong.","it do not work. i deliberately speak in non-english accent and mispronounce words, e. g say boggest instead of big etc. each time i pass with a native speaker score, even though what i be say sound nothing like native, or be wrong.",negative
1,I don't understand anything,i do not understand anything,negative
1,"Load for a long time, said no voice","load for a long time, say no voice",neutral
5,it is very useful application.,it be very useful application.,positive
1,Poor user interface and this app doesn't take into consideration the other accents in the world. It doesn't always pick up words.,poor user interface and this app do not take into consideration the other accent in the world. it do not always pick up words.,negative
5,This is good 👌,this be good 👌,positive
5,amazing for non-native speakers,amaze for non-native speaker,neutral
4,hi every body last star at the end of Elsa speak lesson,hi every body last star at the end of elsa speak lesson,neutral
2,"When I choose a British AI voice, the pronunciation checks are still based on an American accent, and clicking on words still triggers an American voice. It's really frustrating. Are there any plans to address this?","when i choose a british ai voice, the pronunciation check be still base on an american accent, and click on word still trigger an american voice. it be really frustrating. be there any plan to address this?",negative
5,"for me it's usefull , but I need more time with it for practice .","for me it be usefull, but i need more time with it for practice.",neutral
5,wonderful practice for English language.,wonderful practice for english language.,positive
5,very nice help me to speaking english,very nice help me to speak english,positive
5,This application or the new MH has just 1 day but the effect is noticeable,this application or the new mh have just 1 day but the effect be noticeable,neutral
5,My first time to use this app,my first time to use this app,neutral
3,very petrified beginner learning English,very petrified beginner learn english,negative
2,Not very suitable for me. Learning is quite dry. Many other better applications,not very suitable for me. learning be quite dry. many other good application,negative
1,"The sample material is not there, you have to pay first","the sample material be not there, you have to pay first",neutral
5,I t's such i maizing,i ts such i maizing,neutral
3,"In the latest update, I can't use the learn section. It doesn't work. It's such a shame","in the late update, i cannot use the learn section. it do not work. it be such a shame",negative
5,"Good app, thank you very much","good app, thank you very much",positive
5,The application is too good,the application be too good,positive
5,I'll try it,i will try it,neutral
5,I want to enter the warehouse,i want to enter the warehouse,neutral
3,Only Money,only money,neutral
5,I love elsa speak 🌷,i love elsa speak 🌷,positive
4,"best app for learning English,but this limited system is so bad plz less the pro fee structure","best app for learn english, but this limited system be so bad plz less the pro fee structure",negative
5,App like lon,app like lon,neutral
1,My no english,my no english,negative
5,The Elsa Good,the elsa good,positive
1,Too bad. Do not pay for money ... 👎 👎 👎Facebook: An An to picture Ngo Kien Huy,too bad. do not pay for money. 👎 👎 👎facebook an an to picture ngo kien huy,negative
2,"Horrible speech recognition in conversations. When I click on the mispronounced parts in a conversation, it plays some other part of my voice.","horrible speech recognition in conversations. when i click on the mispronounced part in a conversation, it play some other part of my voice.",negative
1,fee is to high,fee be to high,neutral
5,very useful is app,very useful be app,positive
5,"I REALLY LEARN IN THIS APP,, I HOPE THERE IS FREE FOR IELTS BEGINNERS TO LEARN","i really learn in this app, i hope there be free for ielts beginner to learn",positive
5,Crazy app,crazy app,negative
5,Its a very good app no doubt,it be a very good app no doubt,positive
3,very helpful to improve my pronunciation,very helpful to improve my pronunciation,positive
1,Application like a short shorts and reading forever but it kept saying that I couldn't hear the deaf cheeks or j,application like a short short and read forever but it keep say that i could not hear the deaf cheek or j,negative
2,"Fix good pronunciation, but overlap the lesson too much, cannot download data to the device. Feeling wasting money.","fix good pronunciation, but overlap the lesson too much, cannot download data to the device. feel waste money.",negative
5,cool app by speaking for English,cool app by speak for english,positive
1,"Tried it out as a native speaker. It's tailored towards American English which is cringe. Doesn't recognise the British pronouciation of words such as ""are"", since the R is dropped.","try it out as a native speaker. it be tailor towards american english which be cringe. do not recognise the british pronouciation of word such as ""are"", since the r be dropped.",negative
5,Great App to Study English,great app to study english,positive
5,I came here because Harvard children said learning English is easy to use the Elsa Speak application,i come here because harvard child say learn english be easy to use the elsa speak application,neutral
5,Very meticulously detailed correction of errors for users.,very meticulously detailed correction of error for users.,neutral
5,nice app!!,nice app!,positive
3,good for learner to speak english. but it's just limited time to use and over the time it's paid to practice english so i think this is bad thing.,good for learner to speak english. but it be just limited time to use and over the time it be pay to practice english so i think this be bad thing.,negative
5,"Watching the MKing CCYL MV of the ST new application, I should try to download and experience it is very ok.","watch the mking ccyl mv of the st new application, i should try to download and experience it be very ok.",neutral
5,yea cool,yea cool,positive
5,"Or, you should download the experience","or, you should download the experience",neutral
5,this is an excellent app for learning good pronounciation,this be an excellent app for learn good pronounciation,positive
5,"Some words are different from the dictionary (for example, some words contain words are ""I:"")","some word be different from the dictionary for example, some word contain word be ""i """,neutral
1,VTV7 brought me here :-),vtv7 bring me here -,neutral
5,is a very good app for learning languages,be a very good app for learn language,positive
5,Thiss app Deserve 10 out of 10,thiss app deserve 10 out of 10,neutral
5,You are my teacher now im happy because I can speak English,you be my teacher now i be happy because i can speak english,positive
5,my favorite speaking app,my favorite speaking app,positive
5,perfect I like it very much,perfect i like it very much,positive
1,"The way of learning is too bad, but advertising online too much. 1 star for advertising.","the way of learning be too bad, but advertising online too much. 1 star for advertising.",negative
1,I hate this app,i hate this app,negative
1,too expensive,too expensive,negative
5,"Very good application, I bought a lifetime package and introduced to many people","very good application, i buy a lifetime package and introduce to many people",positive
4,Thanks for this app it helps me to learn deeper on how to pronounce properly the english term.,thanks for this app it help me to learn deep on how to pronounce properly the english term.,positive
5,why must be paid? I don't have a lot of monney. Please make it free.,why must be paid? i do not have a lot of monney. please make it free.,negative
1,The sound is too long to read and not log in,the sound be too long to read and not log in,negative
5,Hay. I am much better,hay. i be much good,positive
5,"Elsa Speaking is a great application that helps improve Pronunciation. Nice design, user friendly","elsa speaking be a great application that help improve pronunciation. nice design, user friendly",positive
2,"It is a very beautiful program, but the problem is that the first week is free and after it is 277 c subscription","it be a very beautiful program, but the problem be that the first week be free and after it be 277 c subscription",neutral
1,Paid app. Do not use this,pay app. do not use this,negative
5,Greatly,greatly,positive
1,Bad behavior,bad behavior,negative
4,Need illustration for vocabulary.,need illustration for vocabulary.,neutral
5,It's good aap. i just want to say I purchased premium version for 3 months but due to some engagements I couldn't use that. If I can be allocated with the premium version again. I will appreciate it.,it be good aap. i just want to say i purchase premium version for 3 month but due to some engagement i could not use that. if i can be allocate with the premium version again. i will appreciate it.,neutral
4,"App, I tried it exactly 1 day and then I deleted it but now it is forced to extend the money I don't register but forced to pay","app, i try it exactly 1 day and then i delete it but now it be force to extend the money i do not register but force to pay",negative
5,great and exiting,great and exit,neutral
2,I canceled the subscription but still the up charges me every 3 month,i cancel the subscription but still the up charge me every 3 month,negative
5,it's too helpful to us,it be too helpful to u,neutral
5,"I really like this app, Actually Proud of Course Elisa","i really like this app, actually proud of course elisa",positive
5,"I don't write reviews unless its the best and usefulful for many , and i think this app worth giving my review.","i do not write review unless it be the best and usefulful for many, and i think this app worth give my review.",neutral
5,"Wow! It was very cool, and I liked it ⚡ ⚡","wow! it be very cool, and i like it ⚡ ⚡",positive
5,Seeing Son Tung used so I also tried it,see son tung use so i also try it,neutral
5,It's fun to know using this application,it be fun to know use this application,positive
4,the pay is expensive for advance,the pay be expensive for advance,negative
5,"useful information, easy to learn interface, supplement good professional knowledge","useful information, easy to learn interface, supplement good professional knowledge",positive
5,Good for my pronunciation,good for my pronunciation,positive
1,"it's very expensive you deceived people thank you for replying. 🌹two free lessons a day, for how long ,","it be very expensive you deceive people thank you for replying. 🌹two free lesson a day, for how long,",neutral
3,Must cost money to buy app but I don't have money,must cost money to buy app but i do not have money,negative
4,"Recently, there is no problem with the lesson, about 2 sessions a week","recently, there be no problem with the lesson, about 2 session a week",neutral
5,I will like to add the turkish landage,i will like to add the turkish landage,neutral
4,its very motivating me thanks to this app for motivating me I am so glad and thankful to this app,it be very motivate me thanks to this app for motivate me i be so glad and thankful to this app,positive
5,Why can't Dictionary sir.,why cannot dictionary sir.,negative
1,Why not free,why not free,neutral
5,"Keren. suitable for those of you who want to learn speaking. Elsa Speak teaches from the bottom, you know! 🥰 🥰","keren. suitable for those of you who want to learn speaking. elsa speak teach from the bottom, you know! 🥰 🥰",positive
5,The program for learning English,the program for learn english,neutral
5,Learning is quite easy to understand,learning be quite easy to understand,neutral
5,It's good that app but i don't know Why the price of the program is expensive,it be good that app but i do not know why the price of the program be expensive,negative
